# 09_Name species of cats (felidae) [164/162 answers]
QueryID	Concept	Label	HRank
09.1	http://dbpedia.org/resource/Acinonyx_kurteni	acinonyx kurteni	5
09.2	http://dbpedia.org/resource/Adelphailurus	adelphailurus	3
09.3	http://dbpedia.org/resource/African_golden_cat	african golden cat	5
09.4	http://dbpedia.org/resource/African_leopard	african leopard	5
09.5	http://dbpedia.org/resource/African_wildcat	african wildcat	5
09.6	http://dbpedia.org/resource/American_cheetah	american cheetah	5
09.7	http://dbpedia.org/resource/American_lion	american lion	5
09.8	http://dbpedia.org/resource/Amur_leopard	amur leopard	5
09.9	http://dbpedia.org/resource/Anatolian_leopard	anatolian leopard	5
09.10	http://dbpedia.org/resource/Andean_mountain_cat	andean mountain cat	5
09.11	http://dbpedia.org/resource/Arabian_leopard	arabian leopard	5
09.12	http://dbpedia.org/resource/Asian_golden_cat	asian golden cat	5
09.13	http://dbpedia.org/resource/Asiatic_Cheetah	asiatic cheetah	5
09.14	http://dbpedia.org/resource/Asiatic_Lion	asiatic lion	5
09.15	http://dbpedia.org/resource/Asiatic_Wildcat	asiatic wildcat	5
09.16	http://dbpedia.org/resource/Bali_tiger	bali tiger	5
09.17	http://dbpedia.org/resource/Balkan_Lynx	balkan lynx	5
09.18	http://dbpedia.org/resource/Barbary_leopard	barbary leopard	5
09.19	http://dbpedia.org/resource/Barbary_lion	barbary lion	5
09.20	http://dbpedia.org/resource/Bay_cat	bay cat	5
09.21	http://dbpedia.org/resource/Bengal_tiger	bengal tiger	5
09.22	http://dbpedia.org/resource/Black-footed_cat	black-footed cat	5
09.23	http://dbpedia.org/resource/Bobcat	bobcat	5
09.24	http://dbpedia.org/resource/Canada_lynx	canada lynx	5
09.25	http://dbpedia.org/resource/Cape_Lion	cape lion	5
09.26	http://dbpedia.org/resource/Cape_serval	cape serval	5
09.27	http://dbpedia.org/resource/Caracal	caracal	5
09.28	http://dbpedia.org/resource/Caspian_tiger	caspian tiger	5
09.29	http://dbpedia.org/resource/Cat	cat	5
09.30	http://dbpedia.org/resource/Catopuma	catopuma	1
09.31	http://dbpedia.org/resource/Cave_lion	panthera leo spelaea|cave lion	5
