# 10_Name the genera of pine trees (Pinaceae) [OK] [15/11 answers]
QueryID	Concept	Label	HRank
10.1	http://dbpedia.org/resource/Douglas-fir	douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir|douglas-fir	1
10.2	http://dbpedia.org/resource/Pine	pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine|pine	5
10.3	http://dbpedia.org/resource/Pinus_classification	pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification|pinus classification	5
10.4	http://dbpedia.org/resource/Cedrus	cedrus|cedrus|cedrus|cedrus|cedrus|cedrus|cedrus|cedrus	5
10.5	http://dbpedia.org/resource/Spruce	spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce|spruce	1
10.6	http://dbpedia.org/resource/Fir	fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir|fir	1
10.7	http://dbpedia.org/resource/Larch	larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch|larch	5
10.8	http://dbpedia.org/resource/Tsuga	tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga|tsuga	5
10.9	http://dbpedia.org/resource/Keteleeria	keteleeria|keteleeria|keteleeria|keteleeria|keteleeria|keteleeria	5
10.10	http://dbpedia.org/resource/Pinus	pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus|pinus	5
10.11	http://dbpedia.org/resource/Ducampopinus	ducampopinus|ducampopinus	1
10.12	http://dbpedia.org/resource/Abies	abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies|abies	5
10.13	http://dbpedia.org/resource/Picea	picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea|picea	5
10.14	http://dbpedia.org/resource/Larix	larix|larix|larix|larix|larix|larix|larix|larix	5
10.15	http://dbpedia.org/resource/Pseudotsuga	pseudotsuga|pseudotsuga|pseudotsuga|pseudotsuga	5
