# 37_Name the operas by Wolfgang Amadeus Mozart [22/23 answers]
QueryID	Concept	Label	HRank
37.1	http://dbpedia.org/resource/The_Marriage_of_Figaro	the marriage of figaro	5
37.2	http://dbpedia.org/resource/The_Magic_Flute	the magic flute	5
37.3	http://dbpedia.org/resource/Die_Entf%C3%BChrung_aus_dem_Serail	die entführung aus dem serail	5
37.4	http://dbpedia.org/resource/Cos%C3%AC_fan_tutte	così fan tutte	5
37.5	http://dbpedia.org/resource/Don_Giovanni	don giovanni	5
37.6	http://dbpedia.org/resource/Der_Schauspieldirektor	der schauspieldirektor	5
37.7	http://dbpedia.org/resource/Idomeneo	idomeneo	5
37.8	http://dbpedia.org/resource/La_clemenza_di_Tito	la clemenza di tito	5
37.9	http://dbpedia.org/resource/Lo_sposo_deluso	lo sposo deluso	5
37.10	http://dbpedia.org/resource/L'oca_del_Cairo	l'oca del cairo	5
37.11	http://dbpedia.org/resource/Zaide	zaide	5
37.12	http://dbpedia.org/resource/Il_re_pastore	il re pastore	5
37.13	http://dbpedia.org/resource/Die_Schuldigkeit_des_ersten_Gebots	die schuldigkeit des ersten gebots	5
37.14	http://dbpedia.org/resource/Apollo_et_Hyacinthus	apollo et hyacinthus	5
37.15	http://dbpedia.org/resource/Lucio_Silla	lucio silla	5
37.16	http://dbpedia.org/resource/Ascanio_in_Alba	ascanio in alba	5
37.17	http://dbpedia.org/resource/Bastien_und_Bastienne	bastien und bastienne	5
37.18	http://dbpedia.org/resource/Il_sogno_di_Scipione	il sogno di scipione	5
37.19	http://dbpedia.org/resource/Mitridate,_re_di_Ponto	mitridate, re di ponto	5
37.20	http://dbpedia.org/resource/La_finta_giardiniera	la finta giardiniera	5
37.21	http://dbpedia.org/resource/La_finta_semplice	la finta semplice	5
37.22	http://dbpedia.org/resource/Thamos,_King_of_Egypt	thamos, king of egypt	5
