# 22_ Wimbledon winners for women's or men's singles (since 1980) [28/28 answers]
QueryID	Concept	Label	HRank
22.1	http://dbpedia.org/resource/Andre_Agassi	andre agassi|agassi, andre	5
22.2	http://dbpedia.org/resource/Bj%C3%B6rn_Borg	björn borg	5
22.3	http://dbpedia.org/resource/Lleyton_Hewitt	lleyton hewitt|hewitt, lleyton	5
22.4	http://dbpedia.org/resource/Martina_Hingis	martina hingis|hingis, martina	5
22.5	http://dbpedia.org/resource/Lindsay_Davenport	lindsay davenport|davenport, lindsay	5
22.6	http://dbpedia.org/resource/Pete_Sampras	pete sampras|sampras, pete|pete sampras|sampras, pete|pete sampras|sampras, pete|pete sampras|sampras, pete|pete sampras|sampras, pete|pete sampras|sampras, pete|pete sampras|sampras, pete	5
22.7	http://dbpedia.org/resource/Richard_Krajicek	richard krajicek|krajicek, richard	5
22.8	http://dbpedia.org/resource/Steffi_Graf	steffi graf|graf, steffi|steffi graf|graf, steffi|steffi graf|graf, steffi|steffi graf|graf, steffi|steffi graf|graf, steffi|steffi graf|graf, steffi|steffi graf|graf, steffi	5
22.9	http://dbpedia.org/resource/Serena_Williams	serena williams|williams, serena|serena williams|williams, serena|serena williams|williams, serena|serena williams|williams, serena	5
22.10	http://dbpedia.org/resource/Venus_Williams	venus williams|williams, venus|venus williams|williams, venus|venus williams|williams, venus|venus williams|williams, venus|venus williams|williams, venus	5
22.11	http://dbpedia.org/resource/Jimmy_Connors	jimmy connors|connors, jimmy	5
22.12	http://dbpedia.org/resource/Goran_Ivani%C5%A1evi%C4%87	goran ivanišević	5
22.13	http://dbpedia.org/resource/Martina_Navratilova	martina navratilova|navratilova, martina|martina navratilova|navratilova, martina|martina navratilova|navratilova, martina|martina navratilova|navratilova, martina|martina navratilova|navratilova, martina|martina navratilova|navratilova, martina	5
22.14	http://dbpedia.org/resource/Boris_Becker	boris becker|becker, boris|boris becker|becker, boris|boris becker|becker, boris	5
22.15	http://dbpedia.org/resource/Chris_Evert	chris evert|evert, chris	5
22.16	http://dbpedia.org/resource/Am%C3%A9lie_Mauresmo	amélie mauresmo	5
22.17	http://dbpedia.org/resource/Evonne_Goolagong	evonne goolagong	5
22.18	http://dbpedia.org/resource/Roger_Federer	roger federer|federer, roger|roger federer|federer, roger|roger federer|federer, roger|roger federer|federer, roger|roger federer|federer, roger|roger federer|federer, roger	5
22.19	http://dbpedia.org/resource/Jana_Novotn%C3%A1	jana novotná	5
22.20	http://dbpedia.org/resource/John_McEnroe	john mcenroe|mcenroe, john|john mcenroe|mcenroe, john|john mcenroe|mcenroe, john	5
22.21	http://dbpedia.org/resource/Stefan_Edberg	stefan edberg|edberg, stefan|stefan edberg|edberg, stefan	5
22.22	http://dbpedia.org/resource/Pat_Cash	pat cash	5
22.23	http://dbpedia.org/resource/Maria_Sharapova	maria sharapova|sharapova, maria	5
22.24	http://dbpedia.org/resource/Conchita_Mart%C3%ADnez	conchita martínez	5
22.25	http://dbpedia.org/resource/Michael_Stich	michael stich	5
22.26	http://dbpedia.org/resource/Rafael_Nadal	rafael nadal|nadal, rafael	5
22.27	http://dbpedia.org/resource/Petra_Kvitov%C3%A1	petra kvitová	5
22.28	http://dbpedia.org/resource/Novak_Djokovic	novak djokovic	5
