# 31_Name African countries (nations) [50/54 answers]
QueryID	Concept	Label	HRank
31.1	http://dbpedia.org/resource/Angola	angola	5
31.2	http://dbpedia.org/resource/Benin	benin	5
31.3	http://dbpedia.org/resource/Botswana	botswana	5
31.4	http://dbpedia.org/resource/Burkina_Faso	burkina faso	5
31.5	http://dbpedia.org/resource/Cameroon	cameroon	5
31.6	http://dbpedia.org/resource/Comoros	comoros	5
31.7	http://dbpedia.org/resource/Central_African_Republic	central african republic	5
31.8	http://dbpedia.org/resource/Chad	chad	5
31.9	http://dbpedia.org/resource/Equatorial_Guinea	equatorial guinea	5
31.10	http://dbpedia.org/resource/Gabon	gabon	5
31.11	http://dbpedia.org/resource/Ghana	ghana	5
31.12	http://dbpedia.org/resource/Guinea	guinea	5
31.13	http://dbpedia.org/resource/Guinea-Bissau	guinea-bissau	5
31.14	http://dbpedia.org/resource/Libya	libya|libya	5
31.15	http://dbpedia.org/resource/Liberia	liberia	5
31.16	http://dbpedia.org/resource/Lesotho	lesotho	5
31.17	http://dbpedia.org/resource/Madagascar	madagascar|madagascar	5
31.18	http://dbpedia.org/resource/Malawi	malawi	5
31.19	http://dbpedia.org/resource/Mali	mali	5
31.20	http://dbpedia.org/resource/Mauritius	mauritius	5
31.21	http://dbpedia.org/resource/Morocco	morocco|morocco	5
31.22	http://dbpedia.org/resource/Mozambique	mozambique	5
31.23	http://dbpedia.org/resource/Namibia	namibia	5
31.24	http://dbpedia.org/resource/Niger	niger	5
31.25	http://dbpedia.org/resource/Nigeria	nigeria	5
31.26	http://dbpedia.org/resource/Rwanda	rwanda	5
31.27	http://dbpedia.org/resource/Senegal	senegal	5
31.28	http://dbpedia.org/resource/Seychelles	seychelles islands|seychelles islands	5
31.29	http://dbpedia.org/resource/Sierra_Leone	sierra leone	5
31.30	http://dbpedia.org/resource/Somalia	somalia	5
31.31	http://dbpedia.org/resource/Sudan	sudan	5
31.32	http://dbpedia.org/resource/Swaziland	swaziland	5
31.33	http://dbpedia.org/resource/Tanzania	tanzania	5
31.34	http://dbpedia.org/resource/Tunisia	tunisia	5
31.35	http://dbpedia.org/resource/Togo	togo	5
31.36	http://dbpedia.org/resource/Uganda	uganda	5
31.37	http://dbpedia.org/resource/Western_Sahara	western sahara	2
31.38	http://dbpedia.org/resource/Zimbabwe	zimbabwe|zimbabwe|zimbabwe	5
31.39	http://dbpedia.org/resource/Zambia	zambia|zambia	5
31.40	http://dbpedia.org/resource/The_Gambia	gambia	5
31.41	http://dbpedia.org/resource/Democratic_Republic_of_the_Congo	congo republic|congo republic|congo (formerly zaire)|congo (formerly zaire)	5
31.42	http://dbpedia.org/resource/Ethiopia	ethiopia	5
31.43	http://dbpedia.org/resource/Kenya	kenya	5
31.44	http://dbpedia.org/resource/Egypt	egypt	5
31.45	http://dbpedia.org/resource/Djibouti	djibouti	5
31.46	http://dbpedia.org/resource/Eritrea	eritrea	5
31.47	http://dbpedia.org/resource/South_Africa	south africa	5
31.48	http://dbpedia.org/resource/Mauritania	mauritania	5
31.49	http://dbpedia.org/resource/Cape_Verde	cape verde	5
31.50	http://dbpedia.org/resource/Burundi	burundi	5
