# 41_Name capital cities of U.S.-American states (current) [50/50 answers]
QueryID	Concept	Label	HRank
41.1	http://data.nytimes.com/30125077375726680221	saint paul, minnesota|st paul (minn)|saint paul, minnesota|st paul (minn)|saint paul, minnesota|st paul (minn)|saint paul, minnesota|st paul (minn)|saint paul, minnesota|st paul (minn)|saint paul, minnesota|st paul (minn)|saint paul, minnesota|st paul (minn)	5
41.2	http://data.nytimes.com/31347225725304069811	trenton, new jersey|trenton (nj)|trenton, new jersey|trenton (nj)|trenton, new jersey|trenton (nj)|trenton, new jersey|trenton (nj)|trenton, new jersey|trenton (nj)|trenton, new jersey|trenton (nj)|trenton, new jersey|trenton (nj)	5
41.3	http://data.nytimes.com/38295907397359877811	santa fe, new mexico|santa fe (nm)|santa fe, new mexico|santa fe (nm)|santa fe, new mexico|santa fe (nm)|santa fe, new mexico|santa fe (nm)|santa fe, new mexico|santa fe (nm)|santa fe, new mexico|santa fe (nm)|santa fe, new mexico|santa fe (nm)	5
41.4	http://data.nytimes.com/4068468307290063701	hartford, connecticut|hartford (conn)|hartford, connecticut|hartford (conn)|hartford, connecticut|hartford (conn)|hartford, connecticut|hartford (conn)|hartford, connecticut|hartford (conn)|hartford, connecticut|hartford (conn)|hartford, connecticut|hartford (conn)	5
41.5	http://data.nytimes.com/42077788681180603071	frankfort, kentucky|frankfort, kentucky|frankfort, kentucky	5
41.6	http://data.nytimes.com/43767814169994576701	madison, wisconsin|madison (wis)|madison, wisconsin|madison (wis)|madison, wisconsin|madison (wis)|madison, wisconsin|madison (wis)|madison, wisconsin|madison (wis)|madison, wisconsin|madison (wis)|madison, wisconsin|madison (wis)	5
41.7	http://data.nytimes.com/48672515640526970881	topeka, kansas|topeka, kansas|topeka, kansas	5
41.8	http://data.nytimes.com/48672618484512849921	austin, texas|capital of texas|austin (tex)|austin, texas|capital of texas|austin (tex)|austin, texas|capital of texas|austin (tex)|austin, texas|capital of texas|austin (tex)|austin, texas|capital of texas|austin (tex)|austin, texas|capital of texas|austin (tex)|austin, texas|capital of texas|austin (tex)|austin, texas|capital of texas|austin (tex)	5
41.9	http://data.nytimes.com/51573117947538971201	montpelier, vermont|montpelier, vermont|montpelier, vermont	5
41.10	http://data.nytimes.com/56975960096322330571	sacramento, california|sacrament|sacramento (calif)|sacramento, california|sacrament|sacramento (calif)|sacramento, california|sacrament|sacramento (calif)|sacramento, california|sacrament|sacramento (calif)|sacramento, california|sacrament|sacramento (calif)|sacramento, california|sacrament|sacramento (calif)|sacramento, california|sacrament|sacramento (calif)|sacramento, california|sacrament|sacramento (calif)|sacramento, california|sacrament|sacramento (calif)	5
41.11	http://data.nytimes.com/59413191643788451841	salem, oregon|salem, oregon|salem, oregon	5
